_id,length,end_node,start_node,street,street_level,street_name,street_type,slat,slng,elat,elng
33226,4,1409491218,2079964285,211408580,2,Lăng Cha Cả,primary,106.6610032,106.6609637,10.8006285,10.8006225
33227,8,2041577241,1409491218,211408580,2,Lăng Cha Cả,primary,106.6609637,106.6608966,10.8006225,10.8005843
33228,5,5725019047,2041577241,211408580,2,Lăng Cha Cả,primary,106.6608966,106.6608591,10.8005843,10.8005506
33229,8,1409491216,5725019047,211408580,2,Lăng Cha Cả,primary,106.6608591,106.660811,10.8005506,10.8004871
33230,7,5462203830,1409491216,211408580,2,Lăng Cha Cả,primary,106.660811,106.660796,10.8004871,10.8004169
33231,3,1409491208,5462203830,211408580,2,Lăng Cha Cả,primary,106.660796,106.6607913,10.8004169,10.800386
33232,2,5462203832,1409491208,211408580,2,Lăng Cha Cả,primary,106.6607913,106.6607936,10.800386,10.8003611
33233,3,5725019048,5462203832,211408580,2,Lăng Cha Cả,primary,106.6607936,106.6608038,10.8003611,10.8003296
33234,6,5721686015,5725019048,211408580,2,Lăng Cha Cả,primary,106.6608038,106.6608355,10.8003296,10.8002855
33235,5,5725019049,5721686015,211408580,2,Lăng Cha Cả,primary,106.6608355,106.6608786,10.8002855,10.8002588
33236,6,2041577242,5725019049,211408580,2,Lăng Cha Cả,primary,106.6608786,106.6609346,10.8002588,10.800243
33237,5,1409491198,2041577242,211408580,2,Lăng Cha Cả,primary,106.6609346,106.6609866,10.800243,10.8002587
33238,8,1409491202,1409491198,211408580,2,Lăng Cha Cả,primary,106.6609866,106.6610578,10.8002587,10.8002969
33239,7,5462203829,1409491202,211408580,2,Lăng Cha Cả,primary,106.6610578,106.6611116,10.8002969,10.8003427
33240,7,1404352840,5462203829,211408580,2,Lăng Cha Cả,primary,106.6611116,106.6611458,10.8003427,10.8003982
33241,11,1409491215,1404352840,211408580,2,Lăng Cha Cả,primary,106.6611458,106.6611612,10.8003982,10.8004962
33242,6,1409491217,1409491215,211408580,2,Lăng Cha Cả,primary,106.6611612,106.6611591,10.8004962,10.800555
33243,3,5725019045,1409491217,211408580,2,Lăng Cha Cả,primary,106.6611591,106.6611461,10.800555,10.8005803
33244,3,1409491228,5725019045,211408580,2,Lăng Cha Cả,primary,106.6611461,106.6611214,10.8005803,10.8006042
33247,46,5721686015,5721686016,211408582,2,Hoàng Văn Thụ,primary,106.6605762,106.6608579,10.7999508,10.8002655
33248,46,5721686016,5721686015,211408582,2,Hoàng Văn Thụ,primary,106.6608131,106.6605314,10.8003055,10.7999908
33264,36,366460703,2409402337,211411397,3,Tân Kỳ Tân Quý,secondary,106.6358251,106.6361536,10.8038205,10.8038556
33265,36,2409402337,366460703,211411397,3,Tân Kỳ Tân Quý,secondary,106.6361472,106.6358187,10.8039152,10.8038801
33292,79,5725019044,366437635,211419161,2,Trần Quốc Hoàn,primary,106.6635788,106.6630545,10.8026411,10.8021508
33293,92,1171564036,5725019044,211419161,2,Trần Quốc Hoàn,primary,106.6630545,106.6625083,10.8021508,10.8015141
33294,57,366431143,1171564036,211419161,2,Trần Quốc Hoàn,primary,106.6625083,106.6621441,10.8015141,10.8011409
33295,43,2079964977,366431143,211419161,2,Trần Quốc Hoàn,primary,106.6621441,106.6617986,10.8011409,10.80095
33296,31,366389800,2079964977,211419161,2,Trần Quốc Hoàn,primary,106.6617986,106.6615638,10.80095,10.8007892
33326,201,2216910407,1500090366,211425082,1,TP Hồ Chí Minh - Trung Lương,trunk,106.5777745,106.5759696,10.6865591,10.6861788
33327,649,2216896571,2216910407,211425082,1,TP Hồ Chí Minh - Trung Lương,trunk,106.5759696,106.5701319,10.6861788,10.6850898
33397,11,4560085068,2214439525,211428422,4,Trần Văn Giàu,tertiary,106.5813935,106.581305,10.7494704,10.749524
33398,28,3630715344,4560085068,211428422,4,Trần Văn Giàu,tertiary,106.581305,106.5810825,10.749524,10.7496495
33399,10,3630715333,3630715344,211428422,4,Trần Văn Giàu,tertiary,106.5810825,106.5810043,10.7496495,10.7497004
33412,12,5468638846,5468638845,211428444,4,Số 18,tertiary,106.6029501,106.6030557,10.8248248,10.8248557
33413,8,5737781400,5468638846,211428444,4,Số 18,tertiary,106.6030557,106.6031327,10.8248557,10.8248498
33414,9,4943408397,5737781400,211428444,4,Số 18,tertiary,106.6031327,106.6032201,10.8248498,10.8248431
33415,141,5737781337,4943408397,211428444,4,Số 18,tertiary,106.6032201,106.6043115,10.8248431,10.8241599
33459,206,5475910432,2867884646,211430061,1,TP Hồ Chí Minh - Trung Lương,trunk,106.5653824,106.567214,10.6839223,10.6843803
33460,100,2216896557,5475910432,211430061,1,TP Hồ Chí Minh - Trung Lương,trunk,106.567214,106.568106,10.6843803,10.6845944
33577,17,5406215800,5475910432,211587251,2,Võ Trần Chí,primary,106.567214,106.5671771,10.6843803,10.6845291
33578,19,4001472216,5406215800,211587251,2,Võ Trần Chí,primary,106.5671771,106.5671396,10.6845291,10.684697
33579,160,2256562706,4001472216,211587251,2,Võ Trần Chí,primary,106.5671396,106.5674483,10.684697,10.6861091
33584,238,4001472215,2214455532,211587252,2,Võ Trần Chí,primary,106.5674755,106.5670189,10.68676,10.6846638
33585,17,2214455530,4001472215,211587252,2,Võ Trần Chí,primary,106.5670189,106.5670546,10.6846638,10.6845068
33586,22,5475910432,2214455530,211587252,2,Võ Trần Chí,primary,106.5670546,106.567214,10.6845068,10.6843803
33591,93,2216910399,1500090360,211717995,1,TP Hồ Chí Minh - Trung Lương,trunk,106.5751661,106.5760107,10.685921,10.6860758
33592,307,1500090368,2216910399,211717995,1,TP Hồ Chí Minh - Trung Lương,trunk,106.5760107,106.5787675,10.6860758,10.6866302
33599,179,5406215800,2214455527,211718004,1,TP Hồ Chí Minh - Trung Lương,trunk,106.5687919,106.5671771,10.6848447,10.6845291
33600,13,2214455530,5406215800,211718004,1,TP Hồ Chí Minh - Trung Lương,trunk,106.5671771,106.5670546,10.6845291,10.6845068
33601,215,1500090347,2214455530,211718004,1,TP Hồ Chí Minh - Trung Lương,trunk,106.5670546,106.5651436,10.6845068,10.6840379
33638,59,2217824802,2940183148,211835010,1,Cầu vượt Ngã tư Thủ Đức,trunk,106.7744053,106.7740381,10.8495849,10.8491866
33639,93,2217824797,2217824802,211835010,1,Cầu vượt Ngã tư Thủ Đức,trunk,106.7740381,106.7734819,10.8491866,10.8485482
33654,91,676035137,676035822,211838854,1,Xa Lộ Hà Nội,trunk,106.7659661,106.7663753,10.8354312,10.8361449
33674,34,2024973316,5778615985,211840922,2,Xa Lộ Hà Nội,primary,106.774187,106.773966,10.8495308,10.8493081
33675,19,2024973002,2024973316,211840922,2,Xa Lộ Hà Nội,primary,106.773966,106.7738496,10.8493081,10.8491795
33821,28,2498077594,5772558124,213716381,3,Bắc Hải,primary_link,106.6565707,106.6563416,10.7782494,10.7781305
33822,10,2233808763,2498077594,213716381,3,Bắc Hải,primary_link,106.6563416,106.6562459,10.7781305,10.7781007
33823,13,3011828035,2233808763,213716381,3,Bắc Hải,primary_link,106.6562459,106.6561288,10.7781007,10.7781263
33824,12,2299409179,3011828035,213716381,3,Bắc Hải,primary_link,106.6561288,106.6560333,10.7781263,10.7781836
33825,67,2299409160,2233730990,213719139,4,Đường Phú Hòa,residential,106.6544737,106.6538789,10.7858349,10.7856685
33826,67,2233730990,2299409160,213719139,4,Đường Phú Hòa,residential,106.6538951,106.6544899,10.7856107,10.7857771
33827,157,366478937,2233730990,213719140,4,Phú Hòa,unclassified,106.6544897,106.6558814,10.785777,10.7861547
33828,157,2233730990,366478937,213719140,4,Phú Hòa,unclassified,106.6558656,106.6544739,10.7862127,10.785835
