,period,segment_id,date,weekday,tomtom_velocity,base_LOS,isHot,weather,temperature,district,lat,lng,is_morning
86,period_15_15,65370,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.7818432,106.67404575,0
87,period_15_15,65372,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.78204565,106.67366755,0
88,period_15_15,65374,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.78220305,106.67337025,0
89,period_15_15,65376,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.78234015,106.6731165,0
90,period_15_15,64933,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.7904673,106.65786935,0
91,period_15_15,64935,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.7905565,106.65770335,0
92,period_15_15,64937,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.7906476,106.6575338,0
93,period_15_15,64961,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.788875099999998,106.66087755,0
94,period_15_15,64963,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.7889848,106.66067745,0
95,period_15_15,64965,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.79072345,106.65739275,0
96,period_15_15,64967,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.7907786,106.6572921,0
97,period_15_15,64975,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.7916279,106.6556432,0
98,period_15_15,64977,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.7917126,106.65548705,0
99,period_15_15,64979,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.79175805,106.6554032,0
100,period_15_15,64981,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.7919455,106.65506025,0
101,period_15_15,64983,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.7923572,106.65430765,0
102,period_15_15,64985,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.78722525,106.66398505,0
103,period_15_15,64987,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.7874178,106.66362285,0
104,period_15_15,64989,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.7875872,106.6633072,0
105,period_15_15,64991,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.7877071,106.6630839,0
106,period_15_15,64993,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.78783055,106.66285755,0
107,period_15_15,64995,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.788012,106.66253005,0
108,period_15_15,64997,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.7881529,106.66227795,0
109,period_15_15,64998,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.7827947,106.67226785,0
110,period_15_15,65000,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.78261985,106.67259755,0
111,period_15_15,65002,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.78250115,106.6728202,0
112,period_15_15,65004,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.78244325,106.6729276,0
113,period_15_15,21504,2022-03-20,6,43,A,True,few clouds,27,Quận 10,10.777914249999998,106.68189505,0
114,period_15_15,21505,2022-03-20,6,43,A,True,few clouds,27,Quận 10,10.77798215,106.68186265,0
115,period_15_15,21506,2022-03-20,6,43,A,True,few clouds,27,Quận 10,10.7780384,106.68181215,0
116,period_15_15,21507,2022-03-20,6,43,A,True,few clouds,27,Quận 10,10.7780785,106.6817476,0
117,period_15_15,21508,2022-03-20,6,43,A,True,few clouds,27,Quận 10,10.77809915,106.6816742,0
118,period_15_15,21509,2022-03-20,6,43,A,True,few clouds,27,Quận 10,10.7780982,106.6815962,0
119,period_15_15,21510,2022-03-20,6,43,A,True,few clouds,27,Quận 10,10.77807385,106.681519,0
120,period_15_15,69632,2022-03-20,6,43,A,True,few clouds,27,Quận 11,10.7666383,106.6651463,0
121,period_15_15,58387,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.7863868,106.6656466,0
122,period_15_15,58389,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.78664915,106.665167,0
123,period_15_15,58391,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.78681585,106.66486395,0
124,period_15_15,58393,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.78689165,106.6647271,0
125,period_15_15,58395,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.78700205,106.6645232,0
126,period_15_15,58397,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.7871094,106.66432615,0
127,period_15_15,33821,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.77818995,106.65645615,0
128,period_15_15,33822,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.7781156,106.65629375,0
129,period_15_15,33824,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.77815495,106.65608105,0
130,period_15_15,33823,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.7781135,106.65618735,0
131,period_15_15,49190,2022-03-20,6,43,A,True,few clouds,27,Quận 10,10.7687165,106.6689282,0
132,period_15_15,37963,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.78918355,106.66043205,0
133,period_15_15,37965,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.789372,106.6600744,0
134,period_15_15,37967,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.78952325,106.65978735,0
135,period_15_15,37969,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.78961335,106.6596163,0
136,period_15_15,37971,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.7897499,106.65935715,0
137,period_15_15,37973,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.78990825,106.6590566,0
138,period_15_15,37975,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.790019,106.65884635,0
139,period_15_15,37977,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.79013315,106.6586296,0
140,period_15_15,37979,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.79026925,106.65837125,0
141,period_15_15,37981,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.7903826,106.65815625,0
142,period_15_15,37983,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.79042975,106.65806655,0
143,period_15_15,37985,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.7859887,106.66640535,0
144,period_15_15,37987,2022-03-20,6,43,A,True,few clouds,27,Quận 3,10.78607335,106.6662417,0
