,_id,length,end_node,start_node,street,street_level,street_name,street_type,slng,elng,slat,elat,district,lng,lat
46,6136,4,5207877510,4898569717,32580124,2,Pham Ngũ Lão,primary,106.6808633,106.6808708,10.8251122,10.8251544,Quận Gò Vấp,106.68086704999999,10.825133300000001
47,6137,19,3167044466,5207877510,32580124,2,Pham Ngũ Lão,primary,106.6808708,106.6807847,10.8251544,10.825305,Quận Gò Vấp,106.68082774999999,10.825229700000001
48,6138,16,4903025801,3167044466,32580124,2,Pham Ngũ Lão,primary,106.6807847,106.6807153,10.825305,10.8254364,Quận Gò Vấp,106.68075,10.8253707
49,6139,30,4903025793,4903025801,32580124,2,Pham Ngũ Lão,primary,106.6807153,106.6805791,10.8254364,10.8256735,Quận Gò Vấp,106.68064720000001,10.82555495
50,6140,60,3806430108,4903025793,32580124,2,Pham Ngũ Lão,primary,106.6805791,106.6803114,10.8256735,10.8261524,Quận Gò Vấp,106.68044524999999,10.82591295
51,6141,41,701670583,3806430108,32580124,2,Pham Ngũ Lão,primary,106.6803114,106.6800665,10.8261524,10.8264404,Quận Gò Vấp,106.68018895,10.8262964
52,6492,100,2077773646,366406232,32580387,3,Trần Quốc Hoàn,secondary,106.6643738,106.6643387,10.8059341,10.8050283,Quận Tân Bình,106.66435625,10.8054812
53,6493,18,2077773917,2077773646,32580387,3,Trần Quốc Hoàn,secondary,106.6643387,106.6643303,10.8050283,10.8048631,Quận Tân Bình,106.6643345,10.804945700000001
54,6526,13,5788625749,5788625750,32580466,4,Phó Cơ Điều,tertiary,106.6569293,106.656975,10.7621247,10.7620129,Quận 11,106.65695215,10.7620688
55,6527,13,5788625750,5788625749,32580466,4,Phó Cơ Điều,tertiary,106.6570306,106.6569849,10.7620357,10.7621475,Quận 11,106.65700774999999,10.7620916
56,6528,7,5788625748,5788625749,32580466,4,Phó Cơ Điều,tertiary,106.6569744,106.6569972,10.7620147,10.7619475,Quận 11,106.6569858,10.7619811
57,6529,7,5788625749,5788625748,32580466,4,Phó Cơ Điều,tertiary,106.657054,106.6570312,10.7619667,10.7620339,Quận 11,106.65704260000001,10.7620003
58,7120,14,2498090057,2233126178,32581129,2,Lý Thái Tổ,primary,106.6741613,106.6740246,10.7677402,10.7677425,Quận 10,106.67409294999999,10.767741350000001
59,7121,99,3150775224,2498090057,32581129,2,Lý Thái Tổ,primary,106.6740246,106.6731111,10.7677425,10.7677829,Quận 10,106.67356785,10.7677627
60,8196,359,4066355291,3057506129,32581944,1,Cầu Sài Gòn 1,trunk,106.7319201,106.7286781,10.7997621,10.7991908,Thành phố Thủ Đức,106.7302991,10.79947645
61,8197,412,4066355188,4066355291,32581944,1,Cầu Sài Gòn 1,trunk,106.7286781,106.7249694,10.7991908,10.7984922,Thành phố Thủ Đức,106.72682375,10.7988415
62,8198,232,4066363894,4066355188,32581944,1,Cầu Sài Gòn 1,trunk,106.7249694,106.7228828,10.7984922,10.7980777,Thành phố Thủ Đức,106.7239261,10.79828495
63,8652,25,4611507136,5778115401,32582109,4,Hoà Hưng,tertiary,106.671014,106.6712338,10.7779288,10.7780124,Quận 3,106.6711239,10.7779706
64,8653,25,5778115401,4611507136,32582109,4,Hoà Hưng,tertiary,106.6712124,106.6709926,10.7780684,10.7779848,Quận 3,106.6711025,10.7780266
65,8654,6,5063701334,4611507136,32582109,4,Hoà Hưng,tertiary,106.6712325,106.6712852,10.7780119,10.7780293,Quận 3,106.67125885,10.7780206
66,8655,6,4611507136,5063701334,32582109,4,Hoà Hưng,tertiary,106.6712664,106.6712137,10.7780863,10.7780689,Quận 3,106.67124005,10.7780776
67,8656,24,5063701326,5063701334,32582109,4,Hoà Hưng,tertiary,106.6712855,106.6714949,10.7780294,10.7781012,Quận 3,106.67139019999999,10.7780653
68,8657,24,5063701334,5063701326,32582109,4,Hoà Hưng,tertiary,106.6714755,106.6712661,10.778158,10.7780862,Quận 3,106.6713708,10.778122100000001
69,8658,18,5059499586,5063701326,32582109,4,Hoà Hưng,tertiary,106.6714964,106.6716522,10.7781018,10.7781646,Quận 3,106.6715743,10.7781332
70,8659,18,5063701326,5059499586,32582109,4,Hoà Hưng,tertiary,106.6716298,106.671474,10.7782202,10.7781574,Quận 3,106.6715519,10.778188799999999
71,8660,3,5063701336,5059499586,32582109,4,Hoà Hưng,tertiary,106.6716517,106.6716825,10.7781644,10.7781762,Quận 3,106.67166710000001,10.7781703
72,8661,3,5059499586,5063701336,32582109,4,Hoà Hưng,tertiary,106.6716611,106.6716303,10.7782322,10.7782204,Quận 3,106.6716457,10.7782263
73,8662,23,5063701342,5063701336,32582109,4,Hoà Hưng,tertiary,106.6716827,106.6718852,10.7781763,10.7782555,Quận 3,106.67178395,10.7782159
74,8663,23,5063701336,5063701342,32582109,4,Hoà Hưng,tertiary,106.6718634,106.6716609,10.7783113,10.7782321,Quận 3,106.67176215,10.778271700000001
75,8664,3,3734437594,5063701342,32582109,4,Hoà Hưng,tertiary,106.6718849,106.6719141,10.7782553,10.7782663,Quận 3,106.6718995,10.7782608
76,8665,3,5063701342,3734437594,32582109,4,Hoà Hưng,tertiary,106.6718929,106.6718637,10.7783225,10.7783115,Quận 3,106.6718783,10.778317
77,8666,7,5059499584,3734437594,32582109,4,Hoà Hưng,tertiary,106.6719145,106.6719772,10.7782665,10.7782911,Quận 3,106.67194585,10.7782788
78,8667,7,3734437594,5059499584,32582109,4,Hoà Hưng,tertiary,106.6719552,106.6718925,10.7783469,10.7783223,Quận 3,106.67192385,10.7783346
79,8668,49,366388492,5059499584,32582109,4,Hoà Hưng,tertiary,106.671977,106.6723977,10.778291,10.7784542,Quận 3,106.67218735,10.7783726
80,8669,49,5059499584,366388492,32582109,4,Hoà Hưng,tertiary,106.6723761,106.6719554,10.7785102,10.778347,Quận 3,106.67216575,10.7784286
81,8670,9,5059499581,366388492,32582109,4,Hoà Hưng,tertiary,106.6723974,106.6724787,10.7784541,10.7784846,Quận 3,106.67243805,10.77846935
